# time	pop_1	pop_2	pop_3
0.0	1.0	0.0	0.0
5.0	0.9915228733401579	0.0084486240609635	2.8502598878827767e-5
10.0	0.9666907445412651	0.033175803699707296	0.0001334517590280592
15.0	0.927196851779927	0.07243420553838452	0.0003689426816888772
20.0	0.8755798271255305	0.12360791451043003	0.0008122583640397465
25.0	0.8149177349215709	0.18353398952320665	0.0015482755552227996
30.0	0.7485257617257107	0.24882060836419045	0.0026536299100992505
35.0	0.6796958743459858	0.31612005106698055	0.004184074587033991
40.0	0.6114941444184018	0.3823387185993558	0.006167136982242751
45.0	0.5466155773334216	0.4447838417964221	0.008600580870156603
50.0	0.48728872303798576	0.501255432245508	0.011455844716506665
55.0	0.4352209734155322	0.5500941914339456	0.014684835150522595
60.0	0.3915771104001933	0.5901946536089351	0.01822823599087207
65.0	0.35698584907277425	0.6209904429387322	0.022023707988494012
70.0	0.3315705211740515	0.6424166749274742	0.026012803898474556
75.0	0.31500040349200215	0.6548536650600912	0.030145931447906883
80.0	0.30655882701767156	0.6590560257901878	0.03438514719214068
85.0	0.30522357752742973	0.656071519029874	0.03870490344269626
90.0	0.30975459317769927	0.6471543163965064	0.04309109042579437
95.0	0.31878378177200767	0.633677384866767	0.047538833361225614
100.0	0.33090197116991665	0.6170484850459913	0.0520495437840923
105.0	0.34473853272145244	0.5986337588712898	0.05662770840725844
110.0	0.35903000428578513	0.5796921523352214	0.061277843378994015
115.0	0.37267500276976895	0.5613230393982179	0.06600195783201344
120.0	0.3847737739728505	0.5444284596167095	0.07079776641044079
125.0	0.3946518000060558	0.529690425601	0.07565777439294508
130.0	0.40186789560369934	0.5175628631743521	0.08056924122194942
135.0	0.40620810694870124	0.5082769725526545	0.085514920498645
140.0	0.40766742857350635	0.501858182629403	0.09047438879709181
145.0	0.4064218451142972	0.498152433016243	0.0954257218694611
150.0	0.4027934776126799	0.49685926190575713	0.10034726048156428
155.0	0.3972116810077117	0.49756909004516375	0.1052192289471258
160.0	0.3901728268556618	0.49980215198033734	0.11002502116400222
165.0	0.38220124716925424	0.5030467122483272	0.1147520405824198
170.0	0.37381344794407767	0.5067944934940688	0.11939205856185532
175.0	0.3654872599553373	0.5105716132736969	0.12394112677096765
180.0	0.3576371130781176	0.513963753717394	0.1283991332044905
185.0	0.35059612945466867	0.5166347484849538	0.13276912206037936
190.0	0.34460525822773413	0.518338237570062	0.13705650420220572
195.0	0.33980924473610713	0.5189224845252373	0.1412682707386573
200.0	0.3362588599562475	0.5183288461282198	0.14541229391553445
205.0	0.33391852584315634	0.5165847093856243	0.14949676477122129
