# time	pop_1	pop_2
0.0	1.0	0.0
5.0	0.8647936762229991	0.13520632377700106
10.0	0.533551913534481	0.4664480864655192
15.0	0.1873441382396764	0.812655861760324
20.0	0.013256602759755513	0.986743397240245
25.0	0.10330579183020039	0.8966942081698
30.0	0.40691507789252845	0.5930849221074723
35.0	0.7593984401563373	0.24060155984366316
40.0	0.9705026191300989	0.02949738086990142
45.0	0.9270074083638717	0.07299259163612883
50.0	0.65408668445315	0.3459133155468502
55.0	0.30082469048280536	0.6991753095171948
60.0	0.05815629119657454	0.9418437088034255
65.0	0.055660612232700704	0.9443393877672992
70.0	0.2930694487363821	0.7069305512636178
75.0	0.6413565764659679	0.358643423534032
80.0	0.9120486319125797	0.08795136808742016
85.0	0.9588431928685875	0.04115680713141233
90.0	0.7573317508225161	0.24266824917748359
95.0	0.4183024716300236	0.5816975283699761
100.0	0.12646720741682185	0.8735327925831775
105.0	0.03903197241942352	0.9609680275805758
110.0	0.20071189285010826	0.7992881071498912
115.0	0.5212296458362206	0.47877035416377917
120.0	0.8261299044437883	0.17387009555621077
125.0	0.9520562834580982	0.047943716541900716
130.0	0.8343129376432525	0.16568706235674668
135.0	0.5398029331823571	0.4601970668176418
140.0	0.22897315333725204	0.7710268466627468
145.0	0.06852900667983697	0.9314709933201617
150.0	0.14199527984422927	0.8580047201557695
155.0	0.4058544921459669	0.5941455078540314
160.0	0.7148655287539811	0.2851344712460172
165.0	0.9023924044063838	0.09760759559361451
170.0	0.8706737264914065	0.12932627350859185
175.0	0.6413788934027045	0.3586211065972938
180.0	0.34099840471533943	0.6590015952846584
185.0	0.13152078667913827	0.8684792133208595
190.0	0.1237747497545302	0.8762252502454672
195.0	0.31850416251055824	0.6814958374894391
200.0	0.606944313477795	0.3930556865222021
205.0	0.8316312928519317	0.1683687071480651
210.0	0.8733666531378104	0.12663334686218652
215.0	0.7145907652543725	0.2854092347456245
220.0	0.4451672855947846	0.5548327144052126
225.0	0.21118282771761263	0.7888171722823847
230.0	0.13654136598111666	0.8634586340188806
235.0	0.25782380067357275	0.7421761993264245
240.0	0.5056650117538979	0.4943349882460998
245.0	0.7436085862889179	0.2563914137110801
250.0	0.8440571037419896	0.15594289625800853
255.0	0.757852452008431	0.24214754799156774
260.0	0.5377941342151279	0.462205865784871
265.0	0.30566498901855715	0.6943350109814416
270.0	0.18478985654822408	0.815210143451775
275.0	0.2353707644210654	0.7646292355789336
280.0	0.4248896334155015	0.5751103665844972
285.0	0.6477242660408036	0.3522757339591953
290.0	0.783580993554389	0.21641900644560963
295.0	0.7629259386494858	0.23707406135051318
300.0	0.6028402692491285	0.39715973075087047
305.0	0.3942747564832369	0.6057252435167619
310.0	0.25020386178494997	0.7497961382150492
315.0	0.24475543361931482	0.755244566380684
320.0	0.37559784252137457	0.6244021574786246
325.0	0.5679120676514526	0.43208793234854653
330.0	0.7165637532741903	0.2834362467258089
335.0	0.7434461021694405	0.25655389783055854
340.0	0.6388993438016414	0.3611006561983576
345.0	0.4647253073683475	0.5352746926316515
350.0	0.3177698957270444	0.6822301042729544
355.0	0.27545444844388567	0.7245455515561127
360.0	0.35462223222653366	0.6453777677734649
365.0	0.5061273494386624	0.4938726505613364
370.0	0.6455258148662173	0.35447418513378176
375.0	0.700033299172656	0.29996670082734367
380.0	0.6457896645488438	0.35421033545115577
385.0	0.517598418949556	0.4824015810504434
390.0	0.3878749960590714	0.6121250039409285
395.0	0.3262102373917558	0.6737897626082439
400.0	0.3614543054362169	0.638545694563783
405.0	0.4680350268094164	0.5319649731905836
410.0	0.5837629287337327	0.41623707126626736
415.0	0.6464025648117948	0.35359743518820524
420.0	0.6265478030924172	0.3734521969075833
425.0	0.5403351148233165	0.4596648851766839
430.0	0.4382893672891681	0.561710632710832
435.0	0.3769866980886019	0.6230133019113981
440.0	0.38760048922677093	0.6123995107732291
445.0	0.4589770941079223	0.5410229058920775
450.0	0.546375072724667	0.45362492727533255
455.0	0.6000840914521391	0.3999159085478604
460.0	0.5942205348903508	0.4057794651096488
465.0	0.5381394557368352	0.46186054426316436
470.0	0.46717578311272917	0.5328242168872699
475.0	0.42132472427074336	0.5786752757292555
480.0	0.42359572702731463	0.576404272972684
485.0	0.4682927277487243	0.5317072722512746
490.0	0.5256870596167368	0.47431294038326244
495.0	0.5611191279781897	0.43888087202180937
500.0	0.5564297350372384	0.4435702649627606
