# time	pop_1	pop_2	total	cum_norm_ket	cum_norm_bra	biorth_overlap	true_norm
0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
25.0	0.9911829126856474	0.008817087314352927	1.0000000000000002	1.000677805636015	0.9999736219864087	0.9993490143151595	0.9999999999999992
50.0	0.9653613233072489	0.034638676692751925	1.0000000000000009	1.002583060811541	1.0014443822208894	0.995985011158919	0.999999999999997
75.0	0.9243545361444377	0.0756454638555625	1.0000000000000002	1.0053420832370463	1.008929992196887	0.9858823810053287	0.9999999999999956
100.0	0.870974822588992	0.1290251774110109	1.0000000000000029	1.0083673473494525	1.0297052554767208	0.9630931559490121	0.9999999999999891
125.0	0.8087378185093562	0.191262181490648	1.0000000000000042	1.010908106612648	1.0740543262063345	0.9210051783466973	0.9999999999999839
150.0	0.7415265626981364	0.25847343730186756	1.000000000000004	1.0121174006068039	1.1568966737034068	0.8540327717550505	0.9999999999999789
175.0	0.6732570087951086	0.32674299120489925	1.000000000000008	1.011132615281213	1.3022700860801844	0.7594353628189007	0.9999999999999618
200.0	0.6075841611476082	0.3924158388524252	1.0000000000000333	1.0071662292748274	1.5534985964058037	0.6391281990613036	0.9999999999999293
225.0	0.547673447769168	0.45232655223088875	1.0000000000000568	0.9996019213992453	1.9955493743525978	0.5013147005971104	0.9999999999998892
