# time	pop_1	pop_2
0.0	1.0	0.0
5.0	0.9999114317015165	8.856829848375939e-5
10.0	0.9996473205650355	0.0003526794349649581
15.0	0.9992122934482468	0.0007877065517536659
20.0	0.9986136587716893	0.0013863412283110913
25.0	0.9978609537297297	0.0021390462702704964
30.0	0.9969654336652649	0.0030345663347353486
35.0	0.9959395433683921	0.004060456631608284
40.0	0.9947964052409344	0.005203594759065737
45.0	0.9935493521327546	0.006450647867245401
50.0	0.9922115244309144	0.007788475569085606
55.0	0.9907955427508095	0.009204457249190504
60.0	0.9893132601643023	0.010686739835697717
65.0	0.987775591827328	0.012224408172672199
70.0	0.9861924153726106	0.01380758462738964
75.0	0.9845725325071755	0.015427467492824724
80.0	0.9829236807262997	0.01707631927370071
85.0	0.9812525836583363	0.018747416341664085
90.0	0.9795650289918852	0.02043497100811527
95.0	0.977865963929608	0.022134036070392545
100.0	0.976159599429741	0.023840400570259792
105.0	0.9744495159624743	0.02555048403752662
110.0	0.9727387650041014	0.027261234995899296
115.0	0.9710299619415079	0.02897003805849242
120.0	0.9693253674178591	0.030674632582140995
125.0	0.9676269553894429	0.03237304461055723
130.0	0.9659364672636683	0.03406353273633166
135.0	0.964255452432033	0.03574454756796675
140.0	0.9625852962835748	0.03741470371642484
145.0	0.9609272373708273	0.03907276262917254
150.0	0.9592823757940891	0.040717624205910484
155.0	0.9576516750718421	0.04234832492815741
160.0	0.9560359597865563	0.043964040213443134
165.0	0.9544359111575579	0.04556408884244145
170.0	0.9528520624266863	0.04714793757331324
175.0	0.9512847955850242	0.04871520441497519
180.0	0.9497343405595475	0.050265659440451804
185.0	0.94820077755553	0.051799222444469155
190.0	0.9466840428480238	0.05331595715197551
195.0	0.9451839379608297	0.054816062039169604
200.0	0.9437001418829644	0.05629985811703491
205.0	0.9422322257608763	0.05776777423912261
210.0	0.940779669371766	0.05922033062823299
215.0	0.9393418786247133	0.06065812137528575
220.0	0.9379182033423967	0.06208179665760239
225.0	0.9365079546342487	0.06349204536575068
230.0	0.935110421267891	0.06488957873210865
235.0	0.9337248845656072	0.06627511543439234
240.0	0.9323506314836464	0.06764936851635253
245.0	0.9309869656634433	0.06901303433655552
250.0	0.9296332163668045	0.07036678363319465
255.0	0.9282887453155513	0.07171125468444782
260.0	0.9269529515460413	0.07304704845395793
265.0	0.9256252744584226	0.07437472554157629
270.0	0.924305195289075	0.07569480471092402
