# coeff (real)    coeff (imag)    expon (real)    expon (imag)
7.418827771616e-05  1.008919234864e-04  9.051178326273e-03  -2.629814778984e-03
-1.849499230623e-05  -1.195650700826e-04  7.794763614812e-03  2.268453509102e-03
6.006118126449e-04  -8.473160976150e-04  1.005709729919e-03  2.224509549645e-01
2.053113390086e-02  2.114381213992e-03  1.003715994527e-03  1.450356799537e-01
-2.202759103786e-02  7.460046778199e-03  1.005414788788e-03  1.433612455397e-01
2.246252552117e-05  -1.290664421413e-06  1.831437422772e-03  3.548520186329e-02
-1.329446195306e-05  9.653993092500e-04  9.860728849794e-04  2.213364628054e-01
-1.107311400876e-03  -5.007109816660e-03  1.005435594824e-03  1.497525800890e-01
1.581603820341e-03  1.702888461141e-03  1.004385916946e-03  2.574991477164e-01
-1.025249360255e-03  5.272221596824e-04  1.004048295897e-03  1.546517347926e-01
4.533745258628e-03  -4.976342861804e-03  9.950339261259e-04  1.412881874401e-01
4.334068007685e-04  -1.477846084157e-03  1.002244346260e-03  2.610731631380e-01
-9.699390119805e-04  1.568203428963e-04  9.994758672891e-04  2.539175831357e-01
-1.453293720848e-04  -2.513146697302e-04  1.003484002141e-03  2.695511670882e-01
4.285979523782e-05  -1.148581600229e-04  1.001553990598e-03  2.831145727762e-01
1.582116307320e-05  7.667013730320e-06  9.683233630090e-04  5.351963825628e-02
