# coeff (real)    coeff (imag)    expon (real)    expon (imag)
-9.115643882302e-06  4.665407768195e-06  3.165543674170e-03  -1.429865706958e-01
-1.248879355120e+00  -1.433759633776e+00  1.005709729919e-03  2.224509549645e-01
1.951528551584e+00  1.220807491237e+00  9.860728849794e-04  2.213364628054e-01
-6.950349865529e-01  6.841656805483e-02  9.970947971206e-04  2.188795826332e-01
-6.239571478827e-02  2.406787841114e-01  1.006008351409e-03  2.262252257003e-01
-1.126613598286e-02  -1.675842452579e-01  1.020539625877e-03  2.128542612048e-01
2.008946928873e-05  -3.628553220378e-06  1.831437422772e-03  3.548520186329e-02
3.183211702475e-04  -4.735823142575e-04  1.003715994527e-03  1.450356799537e-01
3.509482808895e-02  8.481060766416e-02  9.779952601500e-04  2.115236355528e-01
3.319172635887e-02  -1.329126086721e-02  1.001709631396e-03  2.298037217947e-01
3.960431292053e-05  5.593047647296e-04  1.005414788788e-03  1.433612455397e-01
1.421858667494e-05  8.031987197834e-06  9.683233630090e-04  5.351963825628e-02
1.176543160588e-05  1.460466332886e-06  3.927279741284e-03  -3.367442100711e-02
-3.151367429483e-05  -1.182438320529e-04  7.794763614812e-03  2.268453509102e-03
8.390359220619e-05  9.029648346658e-05  9.051178326273e-03  -2.629814778984e-03
5.866637076770e-06  -3.045615733672e-05  9.916668585680e-04  1.019002574979e-01
