# coeff (real)    coeff (imag)    expon (real)    expon (imag)
-1.486234536308e-05  1.306906341655e-06  3.165543674170e-03  -1.429865706958e-01
-1.149762630752e+00  -1.577733367176e+00  1.005709729919e-03  2.224509549645e-01
1.885175363929e+00  1.419200371786e+00  9.860728849794e-04  2.213364628054e-01
-3.018185318285e-05  -1.186130976985e-04  7.794763614812e-03  2.268453509102e-03
-7.135011161142e-01  9.403607755011e-03  9.970947971206e-04  2.188795826332e-01
-8.617321821536e-02  2.418803088976e-01  1.006008351409e-03  2.262252257003e-01
2.235076601805e-03  -1.703775502043e-01  1.020539625877e-03  2.128542612048e-01
1.950610662244e-05  -3.576241724614e-06  1.831437422772e-03  3.548520186329e-02
2.172395697303e-04  -1.628245336293e-04  1.003715994527e-03  1.450356799537e-01
2.866975485123e-02  8.844469789243e-02  9.779952601500e-04  2.115236355528e-01
3.561363867774e-02  -1.065146064124e-02  1.001709631396e-03  2.298037217947e-01
8.111680980386e-05  9.256782914144e-05  9.051178326273e-03  -2.629814778984e-03
1.300889851165e-04  2.148757811410e-04  9.950339261259e-04  1.412881874401e-01
1.406214154343e-05  7.789017079944e-06  9.683233630090e-04  5.351963825628e-02
5.713180503637e-06  -7.440153698986e-07  1.954048410949e-04  -3.571644058384e-02
5.924186068542e-06  -2.969338965968e-05  9.916668585680e-04  1.019002574979e-01
