# time	pop_1	pop_2	total	norm_ket	norm_bra	max_abs_ket	max_abs_bra
0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
5.0	0.9911668976859168	0.008833102313308848	0.9999999999992256	559.380223680563	0.9981355874753534	539.4242886308864	0.9936957285625015
10.0	0.9651110504366484	0.034888949561804446	0.9999999999984528	5947.02252518673	0.9926379402681498	5529.657921722915	0.9748852600132772
15.0	0.923136114970776	0.07686388502690351	0.9999999999976795	16040.628888681727	0.98378865468024	13194.998085422218	0.943872898565398
20.0	0.8673278951686654	0.1326721048282391	0.9999999999969045	23465.442635902746	0.9720399039148911	14278.55342221094	0.901156875871213
25.0	0.8004310678052402	0.19956893219088898	0.9999999999961292	27538.879669683447	0.9579890575712832	10261.80724097265	0.8474165052271555
30.0	0.7256900714698997	0.27430992852545605	0.9999999999953557	31770.070199124504	0.9423439258856312	11724.562203338026	0.7834952597181997
35.0	0.6466657975870004	0.35333420240757857	0.999999999994579	38031.32963297334	0.9258796308111775	16400.70988923491	0.7103806854356269
40.0	0.5670407778473379	0.4329592221464635	0.9999999999938014	46169.66359234591	0.9093887967267491	21154.62951796001	0.6562702603268433
45.0	0.49042543746614725	0.5095745625268815	0.9999999999930287	53443.11100173236	0.8936277867779658	19962.215907888567	0.7108398240841376
50.0	0.4201768459848265	0.5798231540074253	0.9999999999922519	59744.277592430015	0.8792630215372528	16183.957695122068	0.7565596496841103
55.0	0.3592395149435539	0.6407604850479284	0.9999999999914823	66780.4719170602	0.8668226888228895	16471.296980027877	0.792893258612408
60.0	0.31001547294865395	0.6899845270420573	0.9999999999907112	75199.92581241537	0.856659812711989	14116.450308139378	0.8194292556600014
65.0	0.2742683866635128	0.7257316133264201	0.9999999999899329	83960.79466340128	0.8489320592612656	15172.973952056804	0.8358860730365438
70.0	0.253064129196754	0.7469358707924093	0.9999999999891633	91855.0606967292	0.843601500378597	14475.311010561427	0.8421147849078227
75.0	0.2467480876568502	0.7532519123315343	0.9999999999883845	99376.45580566101	0.8404541873958193	13311.490520758667	0.838099982670646
80.0	0.2549577338220815	0.7450422661655431	0.9999999999876246	107855.26505083422	0.8391358138413682	11790.986520083916	0.8239587355779208
85.0	0.2766675745385599	0.7233324254482872	0.9999999999868472	117737.3226504321	0.8391971772439791	11922.05568175349	0.7999376900076737
90.0	0.3102625243347441	0.6897374756513248	0.9999999999860689	128010.14538130464	0.8401423440335474	10697.065541877628	0.7664083829697929
95.0	0.3536349509494222	0.646365049035875	0.9999999999852972	137731.86699547828	0.8414733562736385	10407.862464868082	0.7238608611016923
100.0	0.40430008025306735	0.5956999197314586	0.9999999999845259	147222.14583051417	0.842727342545984	10384.129096142839	0.6728957072147786
105.0	0.4595240659922444	0.5404759339915035	0.9999999999837479	157312.6897297777	0.8435041798331573	13855.58239272184	0.6142145890026719
110.0	0.5164588054652905	0.4835411945176844	0.999999999982975	168211.76759815298	0.8434847817716756	16433.955839385115	0.6404912428008573
115.0	0.5722775075520471	0.4277224924301568	0.9999999999822039	179308.4429433853	0.8424413828041707	16125.053517926946	0.6942390555623162
120.0	0.6243051031992592	0.3756948967821705	0.9999999999814297	190342.42493458343	0.8402418166332388	12799.34243177252	0.7386538471090646
125.0	0.6701378483871766	0.32986215159348103	0.9999999999806577	201894.30394563783	0.8368498084883873	13203.705245706658	0.7733833147015988
130.0	0.7077469248759182	0.29225307510396137	0.9999999999798795	214424.02851389273	0.8323227581639058	14060.639184502259	0.7982088968058707
135.0	0.7355615075879274	0.2644384923911915	0.9999999999791189	227504.69817222303	0.8268074214104438	15768.981515735217	0.8130500740439388
140.0	0.7525276408422885	0.24747235913604815	0.9999999999783367	240308.6642744502	0.8205324311733545	15731.450979095165	0.8179678480747272
145.0	0.758140336893276	0.24185966308428158	0.9999999999775575	252804.77322225153	0.8137950959186788	13980.108715027189	0.8131664775046517
150.0	0.7524475552725901	0.247552444704195	0.9999999999767851	265823.37735395436	0.806939031322635	13602.186235043382	0.7989921874811126
155.0	0.7360261072329425	0.2639738927430724	0.999999999976015	280062.9404264349	0.80031978597827	13303.291475150907	0.7759274293891427
160.0	0.7099310157477517	0.29006898422748495	0.9999999999752367	295552.8083931076	0.7942584036018895	13296.1523089084	0.7445795044366751
165.0	0.6756213960403237	0.32437860393414203	0.9999999999744658	312411.9615020062	0.7889877404143143	12841.9695790803	0.7056630516741424
170.0	0.6348674277262839	0.3651325722474119	0.9999999999736958	331715.7914075342	0.7846019208719972	18008.090791195136	0.659976965640003
175.0	0.5896443470564731	0.4103556529164426	0.9999999999729157	354655.3860107918	0.7810229067634172	33051.98315145711	0.6083775219887649
180.0	0.5420204216201043	0.457979578352044	0.9999999999721483	380630.39095581626	0.7779969959455145	51784.60492924808	0.5517505155977309
185.0	0.4940463681237499	0.5059536318476207	0.9999999999713706	406660.84915358305	0.7751271358843912	69502.96571018905	0.5996470972490691
190.0	0.44765344622074293	0.552346553749856	0.9999999999705989	429558.4298931873	0.7719362333313514	80536.01423062458	0.6429893799523446
195.0	0.4045664280555784	0.5954335719142412	0.9999999999698196	448842.6094504287	0.7679465235464552	81966.39386438671	0.6779620534787097
200.0	0.36623590940347645	0.633764090565579	0.9999999999690554	467114.4701630609	0.7627548743746885	75897.8039652084	0.7043658776764785
