# time	pop_1	pop_2	total	norm_ket	norm_bra	max_abs_ket	max_abs_bra
0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
2.5	0.9999113127832426	8.868721675658753e-5	0.9999999999999992	4623.236784928522	0.9997676421308148	1946.0426803775358	0.999723275993351
5.0	0.9996454473368261	0.0003545526631694445	0.9999999999999956	285162.3805192121	0.999071223732281	124088.56701921554	0.9988937219834622
7.5	0.9992029910510629	0.000797008948932609	0.9999999999999956	3.1948155310408836e6	0.9979127062998585	1.4036402395744198e6	0.9975131882314695
10.0	0.9985849188545238	0.0014150811454708549	0.9999999999999947	1.7644461895447463e7	0.9962953452661873	7.80986247252715e6	0.9955847459859605
12.5	0.997792587185475	0.00220741281451793	0.999999999999993	6.596591558730737e7	0.9942236695700855	2.942042850870488e7	0.9931126688544651
15.0	0.9968277256593474	0.003172274340645003	0.9999999999999925	1.924071007394001e8	0.9917034533677926	8.651221403284271e7	0.9901024070236969
17.5	0.995692426537048	0.004307573462944539	0.9999999999999926	4.7239442236594087e8	0.9887416801948508	2.1423951945667902e8	0.9865605546224335
20.0	0.9943891321251123	0.0056108678748797115	0.999999999999992	1.0217060765716046e9	0.9853464999663314	4.675185978589416e8	0.9824948105960731
22.5	0.9929206202622217	0.007079379737770409	0.9999999999999921	2.0047744808416686e9	0.9815271792761328	9.257088618099858e8	0.9779139335307585
25.0	0.9912899880670673	0.008710011932926906	0.9999999999999941	3.6414242437306333e9	0.9772940455216627	1.6966800608510778e9	0.9728276909264043
27.5	0.9895006341395857	0.010499365860403039	0.9999999999999887	6.211422511611554e9	0.9726584254374651	2.9198809810299163e9	0.9672468034710859
30.0	0.9875562394210322	0.012443760578958372	0.9999999999999906	1.0056274671772242e10	0.9676325786694718	4.768076909929942e9	0.9611828849133264
32.5	0.9854607469277477	0.01453925307224394	0.9999999999999916	1.557777631088485e10	0.9622296270600094	7.447496664537855e9	0.9546483781633058
35.0	0.9832183405794948	0.016781659420491847	0.9999999999999866	2.323298179977334e10	0.956463480342095	1.1196220446318983e10	0.9476564882786254
37.5	0.9808334233449307	0.019166576655053225	0.999999999999984	3.352550714926195e10	0.9503487589597627	1.62807412150148e10	0.9402211130048481
40.0	0.9783105949251371	0.021689405074842284	0.9999999999999793	4.699344821231289e10	0.9439007147391943	2.299073813610923e10	0.9323567715457222
42.5	0.9756546291911063	0.024345370808878542	0.9999999999999849	6.419461479933985e10	0.9371351501335387	3.1632204320414932e10	0.9240785322330695
45.0	0.9728704515825789	0.027129548417399212	0.9999999999999781	8.569016780536917e10	0.9300683367528588	4.251916623776463e10	0.9154019397522296
47.5	0.9699631166649203	0.030036883335062516	0.9999999999999828	1.1202799994485536e11	0.9227169338702397	5.5964313292535866e10	0.90634294255635
50.0	0.9669377860267705	0.0330622139732109	0.9999999999999813	1.437272460808025e11	0.9150979075663952	7.22689186169277e10	0.8969178210724559
52.5	0.9637997066864027	0.03620029331357638	0.9999999999999791	1.8126512568115424e11	0.9072284511389829	9.17124730115819e10	0.8871431172650062
55.0	0.9605541901572202	0.03944580984275711	0.9999999999999774	2.25066950948532e11	0.8991259073601197	1.1454247144906824e11	0.8770355660794908
57.5	0.9572065923051517	0.04279340769481654	0.9999999999999682	2.7549967265206354e11	0.8908076931173626	1.4096478545753824e11	0.8666120292406361
60.0	0.9537622941118923	0.046237705888079766	0.999999999999972	3.328688921278901e11	0.882291226920592	1.7113502624957886e11	0.8558894318279162
62.5	0.9502266834388395	0.04977331656113889	0.9999999999999785	3.974189338385893e11	0.8735938597009721	2.051512551496393e11	0.8448847019965272
65.0	0.9466051378680493	0.05339486213192388	0.9999999999999732	4.693353944271942e11	0.8647328092694235	2.430483332261037e11	0.8336147141556791
67.5	0.9429030086778775	0.05709699132209485	0.9999999999999724	5.487495542126257e11	0.8557250987419148	2.84794125316824e11	0.8220962358591352
70.0	0.9391256059933573	0.060874394006614034	0.9999999999999712	6.357441060058251e11	0.8465874991783371	3.3028768954280774e11	0.8103458786062562
72.5	0.9352781851349596	0.0647218148650092	0.9999999999999688	7.303597553068004e11	0.8373364766217094	3.793594967363319e11	0.7983800526963295
75.0	0.9313659341737228	0.06863406582624854	0.9999999999999714	8.326023138728087e11	0.8279881436658498	4.317736395801023e11	0.7862149262254455
77.5	0.9273939626867428	0.07260603731322367	0.9999999999999665	9.424499117825563e11	0.8185582156232671	4.872319128255811e11	0.773866388264375
80.0	0.9233672916945487	0.07663270830542004	0.9999999999999687	1.0598598954237548e12	0.8090619713115296	5.4537957723376843e11	0.761350016208353
82.5	0.9192908447505352	0.08070915524943431	0.9999999999999696	1.184774898013285e12	0.7995142184264619	6.058125635553248e11	0.7486810472459501
85.0	0.9151694401434683	0.08483055985649408	0.9999999999999625	1.317127521367452e12	0.7899292634246629	6.680858307429205e11	0.7358743538546481
87.5	0.9110077841658625	0.08899221583409941	0.9999999999999619	1.456843105065306e12	0.7803208857965117	7.317225655612444e11	0.7229444231956634
90.0	0.906810465394638	0.09318953460532539	0.9999999999999635	1.603840209412145e12	0.7707023165743216	7.96223898852246e11	0.7099053402501404
92.5	0.9025819499255546	0.09741805007440553	0.9999999999999601	1.7580286913936e12	0.76108622088892	8.610788161651365e11	0.6967707745131911
95.0	0.8983265774991999	0.10167342250075598	0.9999999999999558	1.9193055601250688e12	0.7514846843617246	9.257739558552482e11	0.6835539700413513
97.5	0.8940485584538447	0.10595144154610873	0.9999999999999534	2.0875490881543623e12	0.7419092030984925	9.898030141693479e11	0.6702677386328364
100.0	0.8897519714393626	0.11024802856059142	0.999999999999954	2.262611854039258e12	0.7323706770352447	1.0526755119999344e12	0.656924455908328
102.5	0.8854407618260686	0.1145592381738949	0.9999999999999635	2.444313449196448e12	0.7228794063763014	1.1139247194595823e12	0.6435360600527155
105.0	0.8811187407429865	0.11888125925697171	0.9999999999999581	2.6324334871459395e12	0.713445090858737	1.1731145797232205e12	0.6301140529750409
107.5	0.8767895846816512	0.12321041531830167	0.9999999999999529	2.826705339238753e12	0.7040768315765463	1.2298455203436365e12	0.6166695036444796
110.0	0.8724568356032718	0.12754316439668378	0.9999999999999556	3.0268107556769316e12	0.6947831351011455	1.2837590863137288e12	0.6032130533643209
112.5	0.868123901490065	0.1318760985098894	0.9999999999999545	3.2323752961551484e12	0.6855719196420398	1.3345413726794937e12	0.5897549227531594
115.0	0.8637940572844355	0.13620594271551384	0.9999999999999494	3.442964362235509e12	0.6764505230022053	1.3819252740071248e12	0.5763049202125794
117.5	0.8594704461630156	0.14052955383693486	0.9999999999999505	3.658079633548092e12	0.6674257120964289	1.4256916023646892e12	0.5628724516731499
