# time	pop_1	pop_2	pop_3
0.0	1.0	0.0	0.0
5.0	0.9915210550720652	0.00845043456822083	2.8510359713840074e-5
10.0	0.9666674101451587	0.0331990008796755	0.00013358897516551547
15.0	0.9271067807279028	0.07252352456692697	0.0003696947051698759
20.0	0.8753750399493069	0.12381017434265486	0.0008147857080379317
25.0	0.8145839900429747	0.1838613171366384	0.0015546928203864587
30.0	0.7481137437340213	0.24921915725278737	0.002667099013191063
35.0	0.6793358546565844	0.31645557422807086	0.004208571115344228
40.0	0.6113913565464026	0.382401788610248	0.006206854843348874
45.0	0.5470289624406202	0.4443119557415545	0.008659081817824762
50.0	0.48849812263994746	0.4999667147014744	0.011535162658577527
55.0	0.4374887639645791	0.5477264671479262	0.014784768887493707
60.0	0.3951106023721838	0.5865433903996524	0.018346007228162528
65.0	0.36190645666838167	0.6159394919664698	0.0221540513651471
70.0	0.3378944285203165	0.6359571391457706	0.02614843233391125
75.0	0.3226333085812001	0.6470884687772235	0.03027822264157474
80.0	0.31530491962631063	0.6501902278793033	0.03450485249438438
85.0	0.31480686964490223	0.6463904352183119	0.03880269513678398
90.0	0.3198494227009814	0.636992752778984	0.04315782452003253
95.0	0.32905070187498786	0.6233838099898293	0.047565488135180134
100.0	0.3410250625516679	0.6069480617441932	0.05202687570413599
105.0	0.3544602316501102	0.588994038334479	0.05654573001540807
110.0	0.36817980224710284	0.5706949340155522	0.06112526373734234
115.0	0.3811889429069249	0.5530453251277754	0.06576573196529727
120.0	0.3927026230573507	0.5368345002989099	0.07046287664373672
125.0	0.4021570590901052	0.5226356225474069	0.07520731836248525
130.0	0.40920623626296304	0.5108089254322471	0.07998483830478752
135.0	0.41370613188669547	0.501516484101705	0.08477738401159716
140.0	0.4156896434922489	0.49474579657853696	0.08956455992921193
145.0	0.41533528194617253	0.4903393839010052	0.09432533415282006
150.0	0.4129325211043535	0.4880277732960609	0.0990397055995832
155.0	0.40884638542598983	0.4874634912455966	0.10369012332841114
160.0	0.4034834605432711	0.48825402019736563	0.10826251925936067
165.0	0.3972610651045587	0.48999204236330135	0.11274689253213727
170.0	0.39058085406532084	0.49228169129541804	0.11713745463925872
175.0	0.38380766153055057	0.4947599392077736	0.1214323992616735
180.0	0.37725396022276797	0.49711264551967455	0.12563339425755485
185.0	0.3711699333678922	0.49908516144565074	0.12974490518645423
190.0	0.365738834267781	0.5004877121888743	0.1337734535433422
195.0	0.361077054174194	0.5011960516737165	0.13772689415208675
200.0	0.3572381325112805	0.5011480963772132	0.14161377111150408
205.0	0.3542198260941138	0.5003373881013559	0.14544278580452813
210.0	0.351973305323587	0.4988043068223577	0.1492223878540532
215.0	0.35041356183207273	0.4966259552376819	0.1529604829302436
220.0	0.34943018576032103	0.4939055734522692	0.15666424078740798
225.0	0.3488977896037992	0.4907622280160503	0.1603399823801487
230.0	0.34868550449943203	0.48732137039594103	0.16399312510462521
235.0	0.3486651383251277	0.48370669319207954	0.16762816848279086
240.0	0.34871774838525105	0.4800335443004142	0.171248707314333
245.0	0.34873853210790506	0.4764040037880536	0.17485746410403974
250.0	0.34864006719542817	0.47290359630326395	0.17845633650130657
255.0	0.34835403158977674	0.4695995103267691	0.18204645808345288
260.0	0.34783160097595417	0.4665401270523222	0.1856282719717227
265.0	0.34704275896557735	0.463755624392656	0.18920161664176588
270.0	0.345974767532151	0.46125941028612927	0.192765822181719
275.0	0.34463003946089976	0.45905014698388397	0.19631981355521524
280.0	0.3430236372322532	0.4571141471432248	0.19986221562452106
285.0	0.34118059906265896	0.45542794758669386	0.20339145335064607
290.0	0.33913326582814063	0.4539608938546302	0.20690584031722792
295.0	0.3369187534898792	0.4526775965060949	0.21040365000402464
300.0	0.3345766845880992	0.4515401482298809	0.21388316718201852
305.0	0.3321472593742268	0.4505100196699244	0.21734272095584747
310.0	0.3296697126617949	0.4495495820774924	0.22078070526071142
315.0	0.3271811676563434	0.44862323677488103	0.22419559556877428
320.0	0.32471586477886905	0.4476981643846694	0.22758597083646
325.0	0.3223047143635839	0.4467447389214426	0.23095054671497192
330.0	0.31997509998697654	0.4457366797248432	0.23428822028817878
335.0	0.31775084682014887	0.4446510333899407	0.23759811978990858
340.0	0.315652268651159	0.44346808409940935	0.2408796472494299
345.0	0.3136962183087428	0.44217128168533243	0.24413250000592296
350.0	0.3118960872471187	0.4407472530884023	0.24735665966447748
355.0	0.31026172720527007	0.43918592887226754	0.25055234392246095
360.0	0.30879929519777966	0.43748077893460263	0.25371992586761566
365.0	0.30751104777066196	0.43562911815476585	0.25685983407457025
370.0	0.30639512780683403	0.43363241975140326	0.25997245244176076
375.0	0.305445395382746	0.43149656506921624	0.2630580395480357
380.0	0.3046513533304888	0.4292319634749726	0.26611668319453674
385.0	0.30399820975028347	0.42685349223919294	0.269148298010522
390.0	0.3034671060514894	0.4243802291948252	0.27215266475368355
395.0	0.30303552273761325	0.42183497564066064	0.27512950162172445
400.0	0.30267785854711804	0.41924358906364373	0.27807855238923646
405.0	0.3023661638320391	0.4166341617561683	0.2809996744117909
410.0	0.3020709977714051	0.4140360908580386	0.2838929113705548
415.0	0.30176237199740596	0.4114790878940147	0.2867585401085778
420.0	0.30141074039703447	0.40899217295871815	0.28959708664424605
425.0	0.30098799535364146	0.40660269260078086	0.29240931204557646
430.0	0.30046843310918725	0.4043353936363371	0.2951961732544745
435.0	0.29982965383316584	0.40221157954951575	0.29795876661731735
440.0	0.2990533644232443	0.40024837280656866	0.30069826277018585
445.0	0.2981260538486568	0.3984581051765225	0.30341584097481916
450.0	0.2970395125475108	0.39684785795060984	0.3061126295018775
455.0	0.2957911700248102	0.39541917328167825	0.3087896566935102
460.0	0.29438422939973685	0.39416795532589904	0.311447815274363
465.0	0.29282758484606963	0.39308457459157914	0.3140878405623503
470.0	0.29113551763669826	0.39215418073723934	0.3167103016260613
475.0	0.2893271781387713	0.39135721857722466	0.31931560328400277
480.0	0.28742587337993614	0.3906701303688066	0.32190399625125604
485.0	0.2854581912378518	0.39006621602278946	0.3244755927393576
490.0	0.2834530014909048	0.38951661321685555	0.32703038529223855
495.0	0.2814403798909906	0.388991352776888	0.32956826733212063
500.0	0.27945050367234836	0.38846044187005974	0.3320890544575909
