# time	pop_1	pop_2
0.0	1.0	0.0
5.0	0.9916044251694479	0.00839557483055208
10.0	0.9675149696738581	0.03248503032614155
15.0	0.9301612507161253	0.06983874928387412
20.0	0.881979602066048	0.11802039793395142
25.0	0.8248201897405508	0.17517981025944843
30.0	0.7604687837919649	0.2395312162080342
35.0	0.6912323360570739	0.30876766394292526
40.0	0.6196492528131573	0.3803507471868417
45.0	0.5482380714222708	0.45176192857772834
50.0	0.47958079781163815	0.5204192021883612
55.0	0.4162373631561397	0.5837626368438599
60.0	0.36024282916131867	0.6397571708386808
65.0	0.31281433152971644	0.6871856684702832
70.0	0.27467384530986794	0.7253261546901316
75.0	0.2464309034592347	0.753569096540765
80.0	0.22863604706612528	0.7713639529338744
85.0	0.22160093086592272	0.7783990691340765
90.0	0.2251322449554071	0.7748677550445923
95.0	0.23840515712613686	0.7615948428738624
100.0	0.26014986969523335	0.739850130304766
105.0	0.2889091647374051	0.7110908352625942
110.0	0.3230991285341437	0.6769008714658553
115.0	0.36097335850990914	0.63902664149009
120.0	0.40070483002344154	0.5992951699765574
125.0	0.4405754948299333	0.5594245051700656
130.0	0.47905440739710936	0.5209455926028899
135.0	0.5147108111424082	0.4852891888575908
140.0	0.5461443342711261	0.4538556657288729
145.0	0.572110899726359	0.4278891002736397
150.0	0.5918645757652907	0.40813542423470767
155.0	0.605399523128178	0.39460047687182054
160.0	0.6131105919856025	0.3868894080143964
165.0	0.6150363189325574	0.3849636810674417
170.0	0.6106300713579825	0.38936992864201675
175.0	0.5995649649198098	0.40043503508018957
180.0	0.582679533684099	0.4173204663158999
185.0	0.561751254896069	0.4382487451039294
190.0	0.5382992249838975	0.46170077501610113
195.0	0.5129187105436762	0.48708128945632256
200.0	0.4859176438534502	0.5140823561465481
205.0	0.45824377882604006	0.541756221173958
210.0	0.4313831577178587	0.5686168422821395
215.0	0.4065196933304749	0.593480306669523
220.0	0.3841210310276567	0.6158789689723412
225.0	0.3643650880706323	0.6356349119293654
230.0	0.34769974274459936	0.6523002572553982
235.0	0.3347938225494012	0.6652061774505963
240.0	0.32609506918250886	0.6739049308174888
245.0	0.321603708554237	0.6783962914457605
250.0	0.3210182446238781	0.6789817553761195
255.0	0.3239571562383328	0.676042843761665
260.0	0.33003024845412543	0.669969751545872
265.0	0.33883750784452643	0.6611624921554708
270.0	0.3499842487045003	0.6500157512954972
275.0	0.36302830374853545	0.636971696251462
280.0	0.37735333424822465	0.6226466657517734
285.0	0.392181097410978	0.6078189025890199
290.0	0.40681640055410306	0.5931835994458949
295.0	0.4208476415511636	0.5791523584488346
300.0	0.43401403607564076	0.5659859639243578
305.0	0.44591656929644874	0.5540834307035503
310.0	0.45599190131762196	0.544008098682377
315.0	0.4637907594036308	0.536209240596368
320.0	0.4691954699428727	0.5308045300571262
325.0	0.47234197965704916	0.5276580203429498
330.0	0.47339779725252146	0.5266022027474776
335.0	0.47243122468322424	0.5275687753167752
340.0	0.4694269912544892	0.5305730087455103
345.0	0.4644150483247768	0.5355849516752227
350.0	0.45764950875243343	0.542350491247566
355.0	0.4496557559826301	0.5503442440173693
360.0	0.4410000660473662	0.5589999339526335
365.0	0.4319836307908978	0.5680163692091015
370.0	0.4226615186656618	0.5773384813343374
375.0	0.41320872387019814	0.5867912761298011
380.0	0.40413706368954905	0.5958629363104506
385.0	0.39602512446758664	0.6039748755324126
390.0	0.3891070233168536	0.6108929766831454
395.0	0.3832766624516758	0.616723337548323
400.0	0.3784863248816074	0.6215136751183912
405.0	0.37497338671037767	0.6250266132896205
410.0	0.3730255011716985	0.6269744988282996
415.0	0.37265127073734094	0.6273487292626568
420.0	0.3736000090791572	0.6263999909208405
425.0	0.3756405806263212	0.6243594193736766
430.0	0.3786882301790718	0.621311769820926
435.0	0.382671010301829	0.6173289896981689
440.0	0.3874053592455608	0.612594640754437
445.0	0.39264784959170956	0.6073521504082885
450.0	0.3981767559712428	0.6018232440287551
455.0	0.40376798351900184	0.5962320164809959
460.0	0.40917187737114885	0.5908281226288485
465.0	0.4141953741807311	0.5858046258192664
470.0	0.4187609801888136	0.5812390198111844
475.0	0.4228064573016152	0.5771935426983824
480.0	0.42616185052580835	0.573838149474189
485.0	0.428617814619564	0.5713821853804332
490.0	0.4301106873910692	0.5698893126089278
495.0	0.4307535968215841	0.569246403178413
500.0	0.4306673849678519	0.5693326150321446
