# coeff (real)    coeff (imag)    expon (real)    expon (imag)
8.929640595873e-04  2.274775691375e-05  1.417482297399e-02  1.439073448613e-01
7.633758006801e-04  4.853127514145e-06  5.435505443688e-03  2.213573081333e-01
3.956822650011e-04  6.073688502408e-06  5.465912649682e-03  2.554949546673e-01
1.590939110324e-04  2.297777265000e-06  2.877631523729e-03  2.865520421022e-01
9.942233983676e-05  -6.274823610156e-05  3.035867356914e-02  -2.127182497481e-02
7.850371292514e-05  4.062506371072e-05  1.335599002218e-02  4.877199209606e-02
1.649880731787e-05  1.000206954647e-06  1.078575966246e-02  -1.342887549688e-01
-5.606321968965e-06  -7.293844536984e-06  9.196699898634e-04  2.352891855786e-03
