# coeff (real)    coeff (imag)    expon (real)    expon (imag)
7.131738197798e-04  7.724369322351e-06  4.777591180989e-03  2.215915004281e-01
4.768200685259e-04  -1.550965841252e-05  6.181929705007e-03  1.426894529400e-01
4.397892010225e-04  -3.167563661955e-05  5.394471483735e-02  4.172209227869e-02
3.689120410254e-04  7.266393051129e-05  5.796619343910e-03  2.574543775467e-01
1.710444741284e-04  4.803834279462e-05  4.189127850217e-03  2.891677712809e-01
1.500034976109e-04  -1.201402618845e-06  1.022649515163e-02  1.799542957502e-01
4.214285664857e-05  -9.222087032335e-05  6.491033281880e-03  1.037411949285e-01
4.002768253215e-05  3.471157874855e-05  2.589164593893e-03  1.681363315531e-01
-4.103046962077e-06  -1.750049354612e-05  -3.221208448881e-03  2.366458509332e-01
1.085795430700e-05  -3.921210809837e-06  6.445574885066e-03  -1.432498978707e-01
-6.004935081202e-06  -7.360797341527e-06  7.655768025788e-03  -7.404686459373e-02
2.305953248387e-06  -5.416400318738e-06  -1.863603685639e-03  3.115817732320e-02
-4.958663439931e-06  -2.514864871753e-07  -2.034470489076e-03  6.346954727528e-04
-2.391666943314e-06  2.939813863104e-06  -3.125501258076e-03  5.985143449366e-02
1.506039656705e-06  2.089238440494e-06  -1.974664306762e-03  -3.010337522565e-02
7.613943554671e-08  3.392142126687e-08  -1.037292572909e-02  -5.226696088970e-02
3.774553271718e-08  -3.223061627749e-08  -1.522440091570e-02  1.180294861572e-01
9.927387200131e-10  8.722491589990e-10  -2.299640442271e-02  2.846078156148e-01
