# coeff (real)    coeff (imag)    expon (real)    expon (imag)
7.153935625515e-04  -2.301517085685e-04  8.279143913941e-03  1.422391529373e-01
6.381811224328e-04  4.447949507067e-05  4.062720448430e-03  2.218398277496e-01
4.726137630349e-04  -2.285158341482e-04  1.704128232360e-02  1.080351719941e-01
1.093437300915e-04  4.814198101773e-04  2.440237861191e-02  8.048652721479e-02
3.913327415695e-04  6.076844715700e-05  5.709793315777e-03  2.570253459126e-01
1.708573453925e-04  3.858807588712e-05  4.341866027932e-03  2.885928036824e-01
-1.134514232352e-04  -1.057378278627e-04  5.478560182088e-03  1.546863903855e-01
1.674185448791e-05  5.346432045321e-06  -3.146221937725e-03  2.428462580910e-01
