# coeff (real)    coeff (imag)    expon (real)    expon (imag)
1.787030139893e-04  2.966638682242e-06  1.043413835411e-03  2.224320681072e-01
1.461130391941e-04  2.290600532872e-05  1.129477809264e-03  1.450528720634e-01
1.436863199695e-04  3.291592176339e-07  9.989829214046e-04  2.539176756952e-01
1.358530998137e-04  -2.162124183246e-06  9.967545444436e-04  2.188713557024e-01
1.268866510779e-04  -1.346569454417e-05  1.434902570946e-03  1.369225738688e-01
9.640279706112e-05  2.771618699355e-05  1.012061083709e-02  1.059242669655e-02
9.518590047009e-05  -2.460289652072e-05  6.883115296393e-03  3.502703895954e-02
8.835657482189e-05  5.630776689788e-06  9.170445868495e-04  2.213085007022e-01
8.720952945369e-05  4.055729166916e-08  1.002509802527e-03  2.610739807519e-01
8.483011919675e-05  -2.953164233668e-07  1.003533182910e-03  2.298024185194e-01
8.108689549153e-05  1.090953886921e-07  1.001936143061e-03  2.910252294242e-01
7.690135723457e-05  2.869619463956e-07  1.009899753619e-03  2.433644699859e-01
7.665485925011e-05  1.779158823728e-07  1.000687218852e-03  2.831147352399e-01
5.898498190151e-05  1.018735595840e-06  1.001605710105e-03  1.612532713359e-01
5.252883080889e-05  1.821131889945e-06  1.018099178985e-03  1.497686441793e-01
4.899722655499e-05  1.382420743466e-05  1.143255221259e-03  2.129007933439e-01
5.063207969431e-05  -8.109781418309e-08  1.018014188930e-03  2.262226362839e-01
4.651943639991e-05  1.715804828138e-05  1.484388325738e-03  1.201954703425e-01
4.748714822870e-05  1.035722928473e-06  1.017190018917e-03  1.546610269049e-01
4.646329346238e-05  1.107820552872e-07  1.003221239740e-03  2.695521688048e-01
4.510093556039e-05  2.423664193014e-06  1.112494355272e-03  1.695056775829e-01
4.247447813115e-05  3.778027086722e-07  1.003345601229e-03  2.575000365554e-01
3.600747984708e-05  4.195164704909e-07  9.807325935026e-04  2.416683371377e-01
-1.309585059442e-05  3.345502741703e-05  4.736791106582e-03  -2.624240884967e-03
3.462084805007e-05  9.596740004363e-06  8.788609883063e-04  1.344102582671e-01
1.540019662274e-05  -3.142994305998e-05  1.293761816404e-03  1.406750436851e-01
3.249091735799e-05  -8.806900711851e-07  9.900298599451e-04  1.853369445417e-01
3.028998754601e-05  -6.407115678156e-06  1.098091695096e-03  1.068738057999e-01
2.907266314527e-05  -1.063243602427e-05  9.249777002049e-04  2.113156328833e-01
2.783042906284e-05  -1.576201260536e-06  1.695380405453e-03  5.412106481562e-02
2.670454620515e-05  -2.187347005615e-06  1.453548847256e-03  1.744571609700e-01
1.841223001671e-05  -1.735860544473e-05  2.140824951812e-03  6.896800907506e-02
2.504798820564e-05  -9.963927966410e-07  9.887006966170e-04  1.992633414470e-01
2.459699388165e-05  -9.479385303648e-07  1.004971322538e-03  1.953087785478e-01
2.386053368673e-05  1.428882731414e-06  1.086118546875e-03  1.252836109890e-01
2.110396044371e-05  2.316321767114e-06  8.628592146949e-04  1.678222409851e-01
2.077993348304e-05  -1.548772236723e-06  9.885202790936e-04  1.819177398522e-01
1.956983897503e-05  5.306190108047e-06  5.222031772526e-04  1.433881260532e-01
1.954312686183e-05  -2.922398189612e-06  9.738217871849e-04  1.781098363560e-01
1.826554490025e-05  5.988257502233e-07  1.058187587415e-03  1.288435881871e-01
1.767683148029e-05  -2.677695822493e-07  1.099780911921e-03  2.060728185839e-01
1.511393482221e-05  -2.059416878732e-06  1.057654161442e-03  1.017896298026e-01
1.322009886502e-05  -1.271177438170e-06  3.061605360377e-03  -3.571826285963e-02
1.071188566681e-05  -6.711233920351e-06  9.432588231673e-04  2.076372387650e-01
9.970588822006e-06  -5.896683185514e-06  1.001970479979e-03  4.540405413656e-02
1.087053525451e-05  -7.530564461864e-07  9.675640558788e-04  1.890672163636e-01
9.903148178714e-06  1.637376025535e-06  2.085919488568e-03  2.242449391290e-02
8.255143611401e-06  -5.686541471548e-06  7.399046283482e-04  1.092728434531e-01
7.154608262227e-06  -5.981721802941e-06  1.596659929355e-03  6.074543447712e-02
8.554819306148e-06  -2.183704203951e-06  3.121480519328e-03  -1.437618205464e-01
7.324342820957e-06  5.513735717873e-07  5.563472238806e-04  1.124162820796e-01
-4.958201854433e-06  4.233019491297e-06  1.023122203909e-03  1.152364746467e-01
-1.542804628177e-06  4.614102224989e-06  5.974592700475e-04  6.966733732990e-02
4.125464515900e-06  -9.559362258211e-07  7.403503814529e-04  9.034341126600e-02
3.824193817120e-06  -2.951956974608e-07  1.071197906195e-03  -5.421977807915e-02
-2.360227448401e-06  2.370320863759e-06  7.011301317871e-04  3.965289901417e-02
2.625926681352e-06  -1.858748415661e-06  8.294598121688e-04  7.921224912284e-02
2.045055967643e-06  -1.994540130288e-06  7.691071789101e-04  7.542466169999e-02
2.373941433735e-06  1.461332515163e-06  8.046280763620e-04  -4.523433871125e-02
